,num bidders,avg rev,avg trev,truncated?
0,2,4.969014403692331,4.969014403692331,
1,3,6.940388713149638,6.940388713149638,
2,4,8.124731653536793,8.124731653536793,
3,5,11.692000650518878,11.692000650518878,
4,6,11.69285324423083,11.69285324423083,
5,7,13.647933316952749,13.647933316952749,
6,8,15.62843460716957,15.62843460716957,
7,9,18.752768618316743,18.752768618316743,
8,10,18.992179176686854,18.992179176686854,
9,11,26.994584566935103,26.994584566935103,
10,12,24.297899553378386,24.297899553378386,
11,13,35.84145942467263,35.84145942467263,
12,14,31.483448748173636,31.483448748173636,
13,15,34.59638282865197,34.59638282865197,
14,16,30.057856936874888,30.057856936874888,
15,17,30.597660439156826,30.597660439156826,
16,18,30.760169369039787,30.760169369039787,
17,19,38.64648067578114,38.64648067578114,
18,20,49.5641947802883,49.5641947802883,
19,21,42.43212531283979,42.43212531283979,
20,22,42.17651457242774,42.17651457242774,
21,23,48.23811770194932,48.23811770194932,
22,24,46.28165756410259,46.28165756410259,
23,25,45.71436557687778,45.71436557687778,
24,26,51.717736185395786,51.717736185395786,
25,27,52.855251032449054,52.855251032449054,
26,28,46.847987691935714,46.847987691935714,
27,29,54.805768837380285,54.805768837380285,
28,30,88.62778157964419,88.62778157964419,
29,31,85.37764453733566,85.37764453733566,
30,32,68.64166587959765,68.64166587959765,
31,33,56.614484418287624,56.614484418287624,
32,34,50.665133586832944,50.665133586832944,
33,35,93.17793882940121,93.17793882940121,
34,36,53.062223580753596,53.062223580753596,
35,37,79.46490116996608,79.46490116996608,
36,38,83.7115634010142,83.7115634010142,
37,39,78.25932629289662,78.25932629289662,
38,40,78.75094387990005,78.75094387990005,
39,41,84.62871852214045,84.62871852214045,
40,42,74.06075464653017,74.06075464653017,
41,43,72.7369648949707,72.7369648949707,
42,44,80.0089902462371,80.0089902462371,
43,45,81.53465919208375,81.53465919208375,
44,46,105.4699010735701,105.4699010735701,
45,47,75.06595935491661,75.06595935491661,
46,48,230.58157419234584,230.58157419234584,
47,49,83.22959455065019,83.22959455065019,
48,50,116.55025693650808,116.55025693650808,
49,51,106.87963916611827,106.87963916611827,
50,52,103.81106112397258,103.81106112397258,
51,53,98.53732961308773,98.53732961308773,
52,54,98.10213935960824,98.10213935960824,
53,55,117.23185920812871,117.23185920812871,
54,56,104.46951423138343,104.46951423138343,
55,57,106.00513903600758,106.00513903600758,
56,58,165.3640304491774,165.3640304491774,
57,59,131.91234072316092,131.91234072316092,
58,60,135.63681898482733,135.63681898482733,
59,61,133.9471451381685,133.9471451381685,
60,62,130.18753598764079,130.18753598764079,
61,63,167.74250881452633,167.74250881452633,
62,64,138.77195988555155,138.77195988555155,
63,65,128.36074372091312,128.36074372091312,
64,66,107.77544129624918,107.77544129624918,
65,67,126.3508118368255,126.3508118368255,
66,68,145.11121074996174,145.11121074996174,
67,69,155.84727311568523,155.84727311568523,
68,70,143.57664579890636,143.57664579890636,
69,71,125.47945650237553,125.47945650237553,
70,72,191.92105688193215,191.92105688193215,
71,73,137.46801491149893,137.46801491149893,
72,74,128.1691378887882,128.1691378887882,
73,75,148.25467381254725,148.25467381254725,
74,76,157.01978153822168,157.01978153822168,
75,77,152.0774943902415,152.0774943902415,
76,78,185.65921412509562,185.65921412509562,
77,79,143.66362162233384,143.66362162233384,
78,80,163.08826697622246,163.08826697622246,
79,81,160.20001866121606,160.20001866121606,
80,82,142.77431326979877,142.77431326979877,
81,83,159.34786596911277,159.34786596911277,
82,84,205.50831745213668,205.50831745213668,
83,85,207.23621626594237,207.23621626594237,
84,86,198.2409939051308,198.2409939051308,
85,87,171.62455783047147,171.62455783047147,
86,88,173.79179921931967,173.79179921931967,
87,89,299.7082698709799,299.7082698709799,
88,90,156.29492951894315,156.29492951894315,
89,91,236.3821184068117,236.3821184068117,
90,92,238.60261608532565,238.60261608532565,
91,93,199.74328275276085,199.74328275276085,
92,94,179.04211954196367,179.04211954196367,
93,95,171.4716183538792,171.4716183538792,
94,96,188.09355963425176,188.09355963425176,
95,97,170.79972527556714,170.79972527556714,
96,98,203.52581344150877,203.52581344150877,
97,99,184.62513541422086,184.62513541422086,
98,100,186.00187724093698,186.00187724093698,
