,num bidders,avg rev,avg highest bid
0,100.0,201.4280463225922,1622.9051649355577
1,101.0,203.81074043096737,1604.4731365602809
2,102.0,209.98015094364635,1792.692995725288
3,103.0,205.88107447251167,2002.1397251396613
4,104.0,209.32737358297769,1511.2170116002876
5,105.0,223.44888214049328,1659.102591372446
6,106.0,221.1436858062563,1676.187615937784
7,107.0,215.93497534261385,2047.913986861259
8,108.0,222.90475657937867,1499.206130254793
9,109.0,223.6358161235982,1587.2895474803925
10,110.0,237.7384558284932,1940.4661908418348
11,111.0,224.33583724412833,1853.7047186550917
12,112.0,228.24321544744618,2357.165536948286
13,113.0,235.37295195386713,2429.569525493867
14,114.0,234.62572795962404,1702.8331689251258
15,115.0,238.98722398322383,1845.2067341396423
16,116.0,229.7005448602417,1928.864933400781
17,117.0,238.67395481326696,2602.302667352602
18,118.0,240.46243013453872,2605.227888375429
19,119.0,244.72299593838304,1904.4495206581464
20,120.0,233.61338983962324,2128.013560794897
21,121.0,247.7156836433509,1748.7307651172216
22,122.0,249.48815390136065,2208.863054834736
23,123.0,239.93902675824506,2200.4615986916847
24,124.0,250.6737720871216,1998.0423001741683
25,125.0,242.39291459967933,1975.072497206182
26,126.0,250.3004175551836,2038.9554989117414
27,127.0,263.5229992803402,1794.6429347729895
28,128.0,258.23890281096544,3497.6930434303713
29,129.0,255.48700963267075,2526.833855349131
30,130.0,265.97436984643315,2502.4337331072356
31,131.0,259.33356016340616,2358.8946889318368
32,132.0,264.7809805704601,2234.42848274937
33,133.0,270.7946672588779,2603.327074084868
34,134.0,256.7546777887796,2791.103986210559
35,135.0,274.77366985102975,3095.911830832219
36,136.0,275.1536254328118,2398.1279752162754
37,137.0,285.5385307406635,3078.45555247818
38,138.0,294.0300433426786,2949.6561585262707
39,139.0,287.2783762791289,2845.391425747707
40,140.0,277.8552333488413,1856.698880403713
41,141.0,287.2766148304514,2776.261401344079
42,142.0,284.17252624657806,3360.6594680914773
43,143.0,304.3788078582119,4938.85637004694
44,144.0,288.9335502221995,2799.2742985365444
45,145.0,288.14302436303933,2250.722073262483
46,146.0,295.4482385495306,3176.908044905187
47,147.0,298.7829833749244,3385.946164891212
48,148.0,304.65621324180887,2977.7534755296847
49,149.0,312.5909169629638,2930.310417938976
50,150.0,292.69230457804395,3479.9924080519063
51,151.0,307.73953969812067,2832.5788208235776
52,152.0,306.6459164004932,4423.377341304151
53,153.0,312.3203338207991,3612.894546955263
54,154.0,295.88526349279584,3049.8958524604614
55,155.0,307.3476515004675,3765.056377123858
56,156.0,311.5307077878994,3542.052712367477
57,157.0,324.24250501355715,2533.434700921461
58,158.0,316.68491473626165,2429.1264752901366
59,159.0,308.0833927204204,4417.289047629191
60,160.0,332.48088578680347,3193.2566738709465
61,161.0,325.90207336851466,3264.782155961806
62,162.0,316.8127296020758,3502.848361505233
63,163.0,344.4030437136616,2515.8948819204365
64,164.0,326.9381360943003,3343.0686099778054
65,165.0,334.7711628442271,4225.12302193147
66,166.0,341.1305213507951,3298.918425824667
67,167.0,325.83422488612325,4801.139457843409
68,168.0,375.59306885069026,5057.372531399723
69,169.0,349.9937593776747,4560.950617860823
70,170.0,335.8858379810355,2687.0695141075307
71,171.0,339.51920610817854,2516.5858748240303
72,172.0,351.79235622973147,2927.5305830819057
73,173.0,353.87983904275,3391.876349737837
74,174.0,347.4314162898697,3643.4889902028945
75,175.0,382.8133130522075,3261.8868466517433
76,176.0,356.89913216797186,2748.6736004751565
77,177.0,359.40274567845165,2543.922487793935
78,178.0,348.883722419221,2778.37909701167
79,179.0,362.0875600959656,3843.46114787673
80,180.0,371.9582920640874,6763.534392220323
81,181.0,345.06512824445895,3494.4086290832083
82,182.0,364.07682564752787,2809.5318741844653
83,183.0,367.42405446923954,3724.1700490126186
84,184.0,372.9602844330774,2025.15213565089
85,185.0,365.85130033115576,5031.854154196577
86,186.0,360.071822442253,2737.1836811939347
87,187.0,386.9019882091256,4402.809349722015
88,188.0,392.45928165580926,3921.1188734186526
89,189.0,386.5509000363195,5290.089173543401
90,190.0,384.59490232718133,5641.52288499586
91,191.0,383.82811682962296,3267.7812898609723
92,192.0,395.7582210511643,8091.512339275137
93,193.0,389.13706331714377,3376.407098689245
94,194.0,384.9224055853237,5716.532481595674
95,195.0,388.7823032358605,4465.814370552592
96,196.0,391.44810837034123,3543.53777503643
97,197.0,414.04852753817516,3832.9179761219443
98,198.0,388.33184562903534,4413.185134753589
99,199.0,408.8449570071609,3042.3595715457996
100,200.0,381.081587236116,3733.9646255933208
