,num bidders,avg rev,avg trev,truncated?
0,100,202.40760935727363,202.40760935727363,
1,105,215.80177819555593,215.80177819555593,
2,110,223.09246715232962,223.09246715232962,
3,115,239.68353820729624,239.68353820729624,
4,120,242.13235236581525,242.13235236581525,
5,125,253.85170164507224,253.85170164507224,
6,130,262.2915785062886,262.2915785062886,
7,135,279.8480608884378,279.8480608884378,
8,140,295.0025401181327,295.0025401181327,
9,145,302.26619070397106,302.26619070397106,
10,150,316.0898656901453,316.0898656901453,
11,155,307.3549683035568,307.3549683035568,
12,160,321.7377175970038,321.7377175970038,
13,165,334.42473904316284,334.42473904316284,
14,170,351.4605005250957,351.4605005250957,
15,175,350.9493503618723,350.9493503618723,
16,180,362.59441679815103,362.59441679815103,
17,185,378.87005307473066,378.87005307473066,
18,190,395.80778986401504,395.80778986401504,
19,195,405.7601867718766,405.7601867718766,
20,200,401.90649403603123,401.90649403603123,
21,205,420.7322817646604,420.7322817646604,
22,210,436.8162213177699,436.8162213177699,
23,215,425.72980680084964,425.72980680084964,
24,220,435.6337634998799,435.6337634998799,
25,225,498.9869129448371,498.9869129448371,
26,230,475.9680303746899,475.9680303746899,
27,235,469.3484918769525,469.3484918769525,
28,240,480.4401525074692,480.4401525074692,
29,245,482.33987116117737,482.33987116117737,
30,250,498.6236140347036,498.6236140347036,
31,255,508.95965744619537,508.95965744619537,
32,260,524.5973847528179,524.5973847528179,
33,265,529.2994871779331,529.2994871779331,
34,270,539.6201068888903,539.6201068888903,
35,275,544.122625649165,544.122625649165,
36,280,561.547554754723,561.547554754723,
37,285,569.4194526343953,569.4194526343953,
38,290,609.7442429621864,609.7442429621864,
39,295,618.9145968983289,618.9145968983289,
40,300,626.0099760986665,626.0099760986665,
41,305,597.7151422633958,597.7151422633958,
42,310,612.4066998210149,612.4066998210149,
43,315,614.7382470182351,614.7382470182351,
44,320,642.898276872145,642.898276872145,
45,325,647.6743697840235,647.6743697840235,
46,330,657.9793886837625,657.9793886837625,
47,335,658.9195004092496,658.9195004092496,
48,340,705.8078031355301,705.8078031355301,
49,345,706.2379428532306,706.2379428532306,
50,350,743.6326731903027,743.6326731903027,
51,355,701.2487891234284,701.2487891234284,
52,360,724.8365354732571,724.8365354732571,
53,365,704.4158876741554,704.4158876741554,
54,370,737.2126393503349,737.2126393503349,
55,375,744.7317713746597,744.7317713746597,
56,380,816.265931405683,816.265931405683,
57,385,750.9102495451206,750.9102495451206,
58,390,792.5982460164473,792.5982460164473,
59,395,802.5111108291153,802.5111108291153,
60,400,792.2419893019679,792.2419893019679,
61,405,809.3011801326828,809.3011801326828,
62,410,833.4150780754552,833.4150780754552,
63,415,821.1065878030998,821.1065878030998,
64,420,818.0961821222609,818.0961821222609,
65,425,860.610359449641,860.610359449641,
66,430,885.636579109055,885.636579109055,
67,435,889.4169570869336,889.4169570869336,
68,440,892.8921334644787,892.8921334644787,
69,445,905.3822648728611,905.3822648728611,
70,450,897.1962057533201,897.1962057533201,
71,455,917.8694053562409,917.8694053562409,
72,460,919.1251606876339,919.1251606876339,
73,465,920.6453165957219,920.6453165957219,
74,470,942.3622916660889,942.3622916660889,
75,475,957.054951947026,957.054951947026,
76,480,977.3465103586616,977.3465103586616,
77,485,961.4657609225894,961.4657609225894,
78,490,971.116000940724,971.116000940724,
79,495,998.4507741366788,998.4507741366788,
80,500,976.7023330840217,976.7023330840217,
81,505,1085.8148048841858,1085.8148048841858,
82,510,1026.9911547928043,1026.9911547928043,
83,515,1014.180167037706,1014.180167037706,
84,520,1001.8330605528804,1001.8330605528804,
85,525,1041.9586421373638,1041.9586421373638,
86,530,1071.0798835021988,1071.0798835021988,
87,535,1036.8417094001247,1036.8417094001247,
88,540,1055.4588394581783,1055.4588394581783,
89,545,1034.1404254532554,1034.1404254532554,
90,550,1119.7902866112936,1119.7902866112936,
91,555,1135.9596700993961,1135.9596700993961,
92,560,1099.3075412171315,1099.3075412171315,
93,565,1119.5015250826882,1119.5015250826882,
94,570,1139.7287769427335,1139.7287769427335,
95,575,1154.3413113199306,1154.3413113199306,
96,580,1218.6207854427284,1218.6207854427284,
97,585,1153.5813968707698,1153.5813968707698,
98,590,1169.691193805711,1169.691193805711,
99,595,1218.860834137307,1218.860834137307,
100,600,1164.3933088145363,1164.3933088145363,
101,605,1211.551184440867,1211.551184440867,
102,610,1214.8150123624353,1214.8150123624353,
103,615,1240.9286968666545,1240.9286968666545,
104,620,1234.9542875518748,1234.9542875518748,
105,625,1245.1059352187103,1245.1059352187103,
106,630,1255.7252565466588,1255.7252565466588,
107,635,1250.7096136210153,1250.7096136210153,
108,640,1285.5198213254878,1285.5198213254878,
109,645,1293.744324587123,1293.744324587123,
110,650,1297.2720193595678,1297.2720193595678,
111,655,1295.9948919835208,1295.9948919835208,
112,660,1291.1362830992316,1291.1362830992316,
113,665,1276.2471341444173,1276.2471341444173,
114,670,1374.2026333118893,1374.2026333118893,
115,675,1370.5272774152866,1370.5272774152866,
116,680,1380.5825015494813,1380.5825015494813,
117,685,1330.2588516047983,1330.2588516047983,
118,690,1377.9580141176104,1377.9580141176104,
119,695,1424.0441022278633,1424.0441022278633,
120,700,1412.4361302157672,1412.4361302157672,
121,705,1403.8202343616001,1403.8202343616001,
122,710,1412.1901411753277,1412.1901411753277,
123,715,1413.9743918408503,1413.9743918408503,
124,720,1454.8602320317511,1454.8602320317511,
125,725,1419.8945345974769,1419.8945345974769,
126,730,1473.0777209970145,1473.0777209970145,
127,735,1455.7387971905198,1455.7387971905198,
128,740,1515.8724169606405,1515.8724169606405,
129,745,1530.1312316944543,1530.1312316944543,
130,750,1532.9373508749989,1532.9373508749989,
131,755,1509.0979106497757,1509.0979106497757,
132,760,1528.9485293258576,1528.9485293258576,
133,765,1545.7069406788703,1545.7069406788703,
134,770,1539.5059864662526,1539.5059864662526,
135,775,1553.0035285078986,1553.0035285078986,
136,780,1604.5853154239353,1604.5853154239353,
137,785,1595.5962009314387,1595.5962009314387,
138,790,1612.8170119355032,1612.8170119355032,
139,795,1595.714741386139,1595.714741386139,
140,800,1556.487950327124,1556.487950327124,
141,805,1664.9917715151498,1664.9917715151498,
142,810,1619.4479801978841,1619.4479801978841,
143,815,1681.2579499462367,1681.2579499462367,
144,820,1640.9742239067361,1640.9742239067361,
145,825,1686.1686575060041,1686.1686575060041,
146,830,1683.0368789206277,1683.0368789206277,
147,835,1609.0835827440387,1609.0835827440387,
148,840,1626.6403805313441,1626.6403805313441,
149,845,1645.575633245183,1645.575633245183,
150,850,1759.8272793695003,1759.8272793695003,
151,855,1794.9462848889973,1794.9462848889973,
152,860,1748.3990998203035,1748.3990998203035,
153,865,1743.588405246772,1743.588405246772,
154,870,1760.9826272401442,1760.9826272401442,
155,875,1763.23133631743,1763.23133631743,
156,880,1750.7520770254816,1750.7520770254816,
157,885,1789.8261459760172,1789.8261459760172,
158,890,1736.273682145955,1736.273682145955,
159,895,1790.2524683001516,1790.2524683001516,
160,900,1784.4384870479323,1784.4384870479323,
161,905,1821.3340992711956,1821.3340992711956,
162,910,1801.9431245213968,1801.9431245213968,
163,915,1805.0125528529893,1805.0125528529893,
164,920,1929.8721287266128,1929.8721287266128,
165,925,1892.6771231230155,1892.6771231230155,
166,930,1819.8230580365023,1819.8230580365023,
167,935,1846.0145893423075,1846.0145893423075,
168,940,1866.3651636491288,1866.3651636491288,
169,945,1880.6602532736927,1880.6602532736927,
170,950,1893.3941941278706,1893.3941941278706,
171,955,1857.2535334161498,1857.2535334161498,
172,960,1902.9052515526491,1902.9052515526491,
173,965,1931.8709112082267,1931.8709112082267,
174,970,1916.000517424148,1916.000517424148,
175,975,1955.5185007059767,1955.5185007059767,
