,num bidders,avg adj rev
0,100.0,7.457390273600882
1,120.0,8.532497704090202
2,140.0,8.711445136961421
3,160.0,9.132364878169932
4,180.0,9.793709889609328
5,200.0,10.659602790742682
6,220.0,10.787089111752945
7,240.0,11.474006651774626
8,260.0,12.277420003472672
9,280.0,12.494668273482052
10,300.0,12.818320891741752
11,320.0,13.549974759938424
12,340.0,13.792683093412332
13,360.0,14.188050059427136
14,380.0,14.584922864746225
15,400.0,14.715461650422515
16,420.0,15.018611067821434
17,440.0,15.321385872008689
18,460.0,15.393907731022585
19,480.0,15.785939393221284
20,500.0,16.518774070902456
