,num bidders,avg (vv_1 + vv2)
0,100.0,6317.267511696408
1,110.0,2756.477688217685
2,120.0,11048.175673983947
3,130.0,15775.427275458109
4,140.0,6463.636926824973
5,150.0,5000.69521199216
6,160.0,1585705.217894081
7,170.0,19417.732190022216
8,180.0,20326.963447578466
9,190.0,6602.588947591222
10,200.0,11776.553748063505
11,210.0,6391.354070182343
12,220.0,15760.321737138996
13,230.0,38657.719113578016
14,240.0,16034.595566897375
15,250.0,10567.45722073663
16,260.0,10548.86999061739
17,270.0,14573.588413532252
18,280.0,11898.217575723345
19,290.0,11406.442840301754
20,300.0,14560.018069682033
21,310.0,23948.997038623096
22,320.0,20135.285879407933
23,330.0,32350.817563040793
24,340.0,17609.25175339739
25,350.0,72297.58347545573
26,360.0,16685.460325096734
27,370.0,17652.648396538643
28,380.0,13590.62804471427
29,390.0,129508.21357741456
30,400.0,26779.84240682386
31,410.0,26255.07119079275
32,420.0,28566.161764019518
33,430.0,94264.05973562399
34,440.0,16499.555027985865
35,450.0,27665.1360713716
36,460.0,16434.421809205793
37,470.0,71901.79231152793
38,480.0,32468.302970669993
39,490.0,18291.257918899035
40,500.0,17159.82838833545
