,num bidders,avg rev
0,100.0,7310.858761917792
1,105.0,5071.6314619903615
2,110.0,2249.8678141644023
3,115.0,9300.53985651961
4,120.0,7064.645621708335
5,125.0,3617.720580148633
6,130.0,4018.9316273047652
7,135.0,9349.987209544222
8,140.0,3206.9856613553457
9,145.0,2881.7182482642
10,150.0,3492.9952773774544
11,155.0,3529.1000603459656
12,160.0,4128.450627101161
13,165.0,3703.5247631532434
14,170.0,5194.981830548768
15,175.0,4140.014884651951
16,180.0,4426.726556669943
17,185.0,4589.150761690144
18,190.0,4959.30045526016
19,195.0,6922.003336597386
20,200.0,5468.985267133466
