,num bidders,avg VV_2
0,100.0,7.45746398160515
1,110.0,7.842566702925921
2,120.0,8.147974216223355
3,130.0,8.480282509032351
4,140.0,8.905999172006348
5,150.0,9.06872952124137
6,160.0,9.344163599249695
7,170.0,9.550504535471758
8,180.0,10.019517857872676
9,190.0,10.149485396113958
10,200.0,10.437285787801285
11,210.0,10.66357383846506
12,220.0,10.955311094960424
13,230.0,11.20674337442823
14,240.0,11.353530179087397
15,250.0,11.54650509480031
16,260.0,11.782237834420137
17,270.0,12.13960023633748
18,280.0,12.299535152242981
19,290.0,12.50826157186163
20,300.0,12.810745495825097
21,310.0,12.911612929370175
22,320.0,13.183004093827941
23,330.0,13.285942661816739
24,340.0,13.489811881652155
25,350.0,13.739116920221418
26,360.0,13.955953444345703
27,370.0,13.912578123060278
28,380.0,14.237740333990084
29,390.0,14.430633029988412
30,400.0,14.75505516693969
31,410.0,14.732831121051847
32,420.0,15.03676704854263
33,430.0,15.12849872401449
34,440.0,15.371987253550378
35,450.0,15.469355650077905
36,460.0,15.729761698275333
37,470.0,15.951125969379405
38,480.0,15.98707441823967
39,490.0,16.175210503806262
40,500.0,16.395023921781814
