,num bidders,avg rev
0,10.0,4.596061878805363
1,20.0,6.459201342917876
2,30.0,8.002195022594949
3,40.0,9.178273976914353
4,50.0,10.232591902665908
5,60.0,11.252906179063158
6,70.0,12.168785273488062
7,80.0,13.011700266456227
8,90.0,13.748338526353416
9,100.0,14.51566503703415
10,110.0,15.343912689784654
11,120.0,15.838814910005906
12,130.0,16.526708156266736
13,140.0,17.209035715077622
14,150.0,17.767954347836437
15,160.0,18.287788097461135
16,170.0,18.836479942902656
17,180.0,19.489769825414754
18,190.0,20.17240409905886
19,200.0,20.501039632579346
20,210.0,20.817185790313918
21,220.0,21.30945755130355
22,230.0,21.830355015723644
23,240.0,22.320815655969277
24,250.0,22.898518551568078
25,260.0,23.351423358711084
26,270.0,23.873721156660885
27,280.0,24.296696777215804
28,290.0,24.54486605458399
29,300.0,24.96432929017814
30,310.0,25.569935575476784
31,320.0,25.847656188712676
32,330.0,26.365114230787032
33,340.0,26.597363702896217
34,350.0,27.1650061981144
35,360.0,27.38159106310625
36,370.0,27.863411278762158
37,380.0,28.298387440610362
38,390.0,28.65013256001546
39,400.0,29.04557142451515
40,410.0,29.56966906809455
41,420.0,29.602911075473372
42,430.0,30.113308685778918
43,440.0,30.416603727082833
44,450.0,30.818902852028973
45,460.0,30.95055884041276
46,470.0,31.189844386204772
47,480.0,31.613583744372058
48,490.0,32.33598425000775
49,500.0,32.3284359082452
50,510.0,32.61257068619658
51,520.0,33.069576683635255
52,530.0,33.20419803702292
53,540.0,33.631435133452996
54,550.0,33.875637168289416
55,560.0,34.2925462520514
56,570.0,34.791491953111404
57,580.0,34.94680412507926
58,590.0,35.153809322358164
59,600.0,35.02899979784272
60,610.0,35.7354841233027
61,620.0,35.78867732271692
62,630.0,36.26051197233969
63,640.0,36.62155985808176
64,650.0,36.763084790582106
65,660.0,37.13004683946116
66,670.0,37.57385122561111
67,680.0,37.86098724319555
68,690.0,37.861050973203525
69,700.0,38.10236641679166
70,710.0,38.435523309917485
71,720.0,38.86296358793111
72,730.0,39.21062294596161
73,740.0,39.302591293840855
74,750.0,39.717272554921365
75,760.0,39.61949720277357
76,770.0,40.166504467313516
77,780.0,40.49617490491357
78,790.0,40.28695406024242
79,800.0,40.947294474867974
80,810.0,41.38585985328812
81,820.0,41.532687851320176
82,830.0,41.6546881028253
83,840.0,42.04128175336865
84,850.0,42.171809680017425
85,860.0,42.61215484328648
86,870.0,42.59711433104097
87,880.0,42.75926171920217
88,890.0,43.13880309524003
89,900.0,43.15067411711175
90,910.0,44.6427436892336
91,920.0,44.07690981631736
92,930.0,44.35063021217604
93,940.0,44.18545843817695
94,950.0,44.68344929228621
95,960.0,44.71674639085439
96,970.0,45.002119068946165
97,980.0,45.304282936094026
98,990.0,45.590167514867964
99,1000.0,45.736553605101875
