,num bidders,avg (vv_1 + vv2)
0,100.0,6.200928820569153
1,110.0,6.235000488172593
2,120.0,6.364712085177109
3,130.0,6.402430668550302
4,140.0,6.516949128387837
5,150.0,6.662083900894324
6,160.0,6.646813456441285
7,170.0,6.690012672576892
8,180.0,6.748162185397441
9,190.0,6.815601620519195
10,200.0,6.8715689350192735
11,210.0,6.874240567847325
12,220.0,7.007885489942165
13,230.0,6.953123776857856
14,240.0,7.102550618672573
15,250.0,7.155204818898028
16,260.0,7.152425967074615
17,270.0,7.192995874887727
18,280.0,7.218832892864609
19,290.0,7.225111607178138
20,300.0,7.296779876596087
21,310.0,7.303317993843653
22,320.0,7.299290192767438
23,330.0,7.376293936966962
24,340.0,7.453588436241843
25,350.0,7.432339266106821
26,360.0,7.492511659900317
27,370.0,7.490805696755847
28,380.0,7.511100619965488
29,390.0,7.496847152565604
30,400.0,7.515061961271628
31,410.0,7.637487227855544
32,420.0,7.596227625455346
33,430.0,7.7191520292454925
34,440.0,7.707498078647771
35,450.0,7.686302907429317
36,460.0,7.775530658177395
37,470.0,7.691454801105975
38,480.0,7.7189610474473245
39,490.0,7.854336192904608
40,500.0,7.804185613330428
