,num bidders,avg (vv_1 + vv2)
0,100.0,6.8781509547048865
1,110.0,6.9797231876273065
2,120.0,7.084538960593315
3,130.0,7.184387757259774
4,140.0,7.276195599958229
5,150.0,7.4146130326524915
6,160.0,7.511599347274155
7,170.0,7.620552174277994
8,180.0,7.6965288146369195
9,190.0,7.698812085349922
10,200.0,7.811553601310258
11,210.0,7.893955419161214
12,220.0,7.944507796019491
13,230.0,8.039895688063586
14,240.0,8.034267477547049
15,250.0,8.145334462787094
16,260.0,8.230474359374515
17,270.0,8.29214373538643
18,280.0,8.261939167609635
19,290.0,8.35857198043114
20,300.0,8.423662360175811
21,310.0,8.422430579446962
22,320.0,8.505664840382432
23,330.0,8.508742192842854
24,340.0,8.547715506172171
25,350.0,8.59227563123072
26,360.0,8.693483301735014
27,370.0,8.64287598150009
28,380.0,8.76473165090575
29,390.0,8.764420766941106
30,400.0,8.782218468201965
31,410.0,8.839208114196019
32,420.0,8.868081468776703
33,430.0,8.89349343157615
34,440.0,8.939808716943398
35,450.0,8.977144355459254
36,460.0,8.994192140306017
37,470.0,9.001805501245007
38,480.0,9.04824182767021
39,490.0,9.094566382090779
40,500.0,9.124503937107347
