,num bidders,avg rev
0,10.0,715.2581440114926
1,20.0,1355.7731466264672
2,30.0,14410.875506469714
3,40.0,2988.4307020508145
4,50.0,6124.927250645703
5,60.0,4992.372386660318
6,70.0,14585.718724505312
7,80.0,7764.802993879638
8,90.0,6957.04406695078
9,100.0,20116.117811702006
10,110.0,25401.922187544424
11,120.0,21423.351237968647
12,130.0,16150.626338428487
13,140.0,14475.102343938292
14,150.0,32972.262201983016
15,160.0,61986.23808300659
16,170.0,19413.684379738683
17,180.0,63510.77782183348
18,190.0,24690.68213712507
19,200.0,69791.99368047458
