,num bidders,avg VV_2
0,100.0,14.238744512377059
1,110.0,15.00630568426394
2,120.0,16.07854452739079
3,130.0,16.551935279581443
4,140.0,17.08783521514306
5,150.0,17.568902057944644
6,160.0,19.995154934983397
7,170.0,18.78164461326544
8,180.0,19.90810416857161
9,190.0,19.957380453795732
10,200.0,21.320535546505777
11,210.0,21.7447195842596
12,220.0,20.72341565830655
13,230.0,21.423638496710147
14,240.0,23.642958125994053
15,250.0,23.548220274106164
16,260.0,22.198575129558893
17,270.0,25.235137993520596
18,280.0,23.84721751629376
19,290.0,25.778159387088667
20,300.0,29.09545597154779
21,310.0,27.57652283362037
22,320.0,25.20507336946636
23,330.0,26.778588376556925
24,340.0,26.655731667629286
25,350.0,27.273103863274343
26,360.0,28.803531378347984
27,370.0,28.163111597288946
28,380.0,27.0445231828793
29,390.0,28.06053888984647
30,400.0,28.092361981594248
31,410.0,29.982430715796536
32,420.0,29.39947127114527
33,430.0,32.32029873659178
34,440.0,31.64734022292096
35,450.0,31.51444184834814
36,460.0,31.067078662478988
37,470.0,34.297788521472164
38,480.0,29.609931687702307
39,490.0,32.84860150848082
40,500.0,30.79829943416892
