,num bidders,avg (vv_1 + vv2)
0,100.0,36.48836082811787
1,110.0,37.49335399629378
2,120.0,37.537243944451454
3,130.0,39.267657322607405
4,140.0,50.87186782251613
5,150.0,43.99119212068
6,160.0,44.56982607501843
7,170.0,46.29138245056395
8,180.0,49.42197583416441
9,190.0,47.77329382479116
10,200.0,51.309545000149186
11,210.0,51.41953635668573
12,220.0,52.79225041408433
13,230.0,58.344710414123604
14,240.0,53.33102130485124
15,250.0,54.541916744515056
16,260.0,55.865919375380614
17,270.0,57.434758355867885
18,280.0,57.65172557081629
19,290.0,59.76915739692722
20,300.0,62.920884835771474
21,310.0,60.28121022856216
22,320.0,63.26391024339858
23,330.0,66.89074877483546
24,340.0,63.2948413937306
25,350.0,71.62473937090505
26,360.0,65.84615692300875
27,370.0,66.622578298633
28,380.0,73.19346960433558
29,390.0,69.38567043624718
30,400.0,71.40162453517672
31,410.0,70.75421244624208
32,420.0,77.55284895196998
33,430.0,72.64041394574646
34,440.0,72.48196435649234
35,450.0,72.71435308870831
36,460.0,77.80103151331859
37,470.0,74.52658924657602
38,480.0,79.43077447632322
39,490.0,79.89501273242183
40,500.0,82.83436548907706
